2017 CAI View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Puerto Rico Only,Part C FAC,Part D MA-PD FAC,Part D PDP FAC,Overall FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1716,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1737,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1777,ArchCare Advantage,"CATHOLIC SPECIAL NEEDS PLAN, LLC",Catholic Health Care System,No,H,D,N/A,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Trinity Health,No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1849,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Inc.,No,I,B,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1894,AMERIGROUP,"AMERIGROUP WASHINGTON, INC.",Anthem Inc.,No,I,E,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1944,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1951,"Humana Health Benefit Plan of Louisiana, Inc.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1961,Peoples Health,"PEOPLES HEALTH, INC.","PH Holdings, LLC",No,I,E,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1969,Regence BlueShield of Idaho,REGENCE BLUE SHIELD OF IDAHO,"Cambia Health Solutions, Inc.",No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1994,SelectHealth,"SELECTHEALTH, INC.","Intermountain Health Care, Inc.",No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1997,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",No,D,B,N/A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
