NAME,state,Population Over 65,Year
Kansas,20,68552.0,2023
Kentucky,21,89302.0,2023
Louisiana,22,93209.0,2023
Maine,23,26097.0,2023
Maryland,24,116381.0,2023
Massachusetts,25,148859.0,2023
Michigan,26,204064.0,2023
Minnesota,27,109772.0,2023
Mississippi,28,66238.0,2023
Missouri,29,123869.0,2023
Montana,30,21699.0,2023
Nebraska,31,42121.0,2023
Nevada,32,54845.0,2023
New Hampshire,33,27796.0,2023
New Jersey,34,171158.0,2023
New Mexico,35,44256.0,2023
New York,36,377594.0,2023
North Carolina,37,225137.0,2023
North Dakota,38,19344.0,2023
Ohio,39,237749.0,2023
Oklahoma,40,86982.0,2023
Oregon,41,78012.0,2023
Pennsylvania,42,266384.0,2023
Rhode Island,44,25791.0,2023
South Carolina,45,110816.0,2023
South Dakota,46,18930.0,2023
Tennessee,47,137453.0,2023
Texas,48,635218.0,2023
Utah,49,78396.0,2023
Vermont,50,16071.0,2023
Virginia,51,182179.0,2023
Washington,53,138765.0,2023
West Virginia,54,36695.0,2023
Wisconsin,55,121887.0,2023
Wyoming,56,12147.0,2023
